"SpatialCoords.Pos_X","SpatialCoords.Pos_Y","PatientID","ClusterCellType"
1950.06976744186,158.232558139535,"patient3","Stroma"
1928.37168141593,160.389380530973,"patient3","Stroma"
2018.96515679443,163.961672473868,"patient3","Stroma"
1995.8,163.796296296296,"patient3","Stroma"
1968.03225806452,169.454301075269,"patient3","Stroma"
2131.13440860215,199.537634408602,"patient3","Stroma"
1877.18518518519,199.777777777778,"patient3","Stroma"
2109.39466666667,206.157333333333,"patient3","Stroma"
1890.09523809524,207.126984126984,"patient3","Stroma"
1930.36666666667,211.633333333333,"patient3","Stroma"
1566.64705882353,218.460784313725,"patient3","Stroma"
1736.55555555556,221.25641025641,"patient3","Stroma"
1881.29411764706,219.979238754325,"patient3","Stroma"
2210.98622589532,221.873278236915,"patient3","Stroma"
1772.73618090452,223.409547738693,"patient3","Stroma"
1498.8820754717,223.322327044025,"patient3","Treg"
1961.54,227.16,"patient3","Thelp"
2175.2534351145,224.851908396947,"patient3","Stroma"
1641.625,226.25,"patient3","Stroma"
1671.16489361702,228.654255319149,"patient3","Stroma"
1533.72571428571,231.177142857143,"patient3","Stroma"
1550.01503759398,230.601503759398,"patient3","Stroma"
2055.27777777778,232.888888888889,"patient3","Stroma"
1943.64948453608,242.229381443299,"patient3","Stroma"
1379.248606466,245.051282051282,"patient3","Treg"
1859.43321299639,244.296028880866,"patient3","Stroma"
1885.86037735849,245.792452830189,"patient3","Stroma"
1903.91150442478,247.353982300885,"patient3","Stroma"
1795.57543859649,247.7,"patient3","Stroma"
1562.02727272727,249.954545454545,"patient3","Stroma"
1843.74137931034,250.51724137931,"patient3","Stroma"
1585.4668989547,251.118466898955,"patient3","Stroma"
1824.35,250.590909090909,"patient3","Stroma"
2472.95652173913,252.04347826087,"patient3","Stroma"
2320.39583333333,253.614583333333,"patient3","Stroma"
1329.75539568345,254.187050359712,"patient3","Endothelial"
2330.55555555556,257.088888888889,"patient3","Stroma"
2414.17543859649,255.245614035088,"patient3","Stroma"
2226.39130434783,258.217391304348,"patient3","Stroma"
1871.93804034582,259.304034582133,"patient3","Stroma"
1483.44897959184,259.632653061225,"patient3","Stroma"
2337.94736842105,259.894736842105,"patient3","Stroma"
1497.88687782805,259.950226244344,"patient3","Stroma"
2491.25552050473,260.602523659306,"patient3","Stroma"
2234.27559055118,262.566929133858,"patient3","Treg"
1229.3058419244,264.652920962199,"patient3","Treg"
1476.48936170213,266.765957446808,"patient3","Stroma"
1518.44385026738,268.529411764706,"patient3","Treg"
2019.57702349869,269.631853785901,"patient3","Stroma"
1253.08306709265,270.543130990415,"patient3","Tcyt"
1629.47619047619,270.888095238095,"patient3","Stroma"
1587.64235294118,271.364705882353,"patient3","Stroma"
1914.0780141844,272.035460992908,"patient3","Stroma"
2611.73684210526,272.719298245614,"patient3","Stroma"
1943.98701298701,275.688311688312,"patient3","Stroma"
1550.60606060606,278.090909090909,"patient3","Stroma"
1567.48979591837,277.341836734694,"patient3","Stroma"
1735.5,279.083333333333,"patient3","Stroma"
2604,280.8,"patient3","Stroma"
2032.19444444444,283.055555555556,"patient3","Stroma"
1765.38235294118,284.852941176471,"patient3","Stroma"
2566.95454545455,288.681818181818,"patient3","Stroma"
2036.73913043478,288.565217391304,"patient3","Stroma"
2020.61565836299,290.637010676157,"patient3","Stroma"
1252.76892950392,292.155352480418,"patient3","Treg"
2494.5037593985,290.691729323308,"patient3","Stroma"
2365.09090909091,291.363636363636,"patient3","Stroma"
1212.01136363636,291.602272727273,"patient3","Treg"
2629.38412698413,296.622222222222,"patient3","Stroma"
2591.7962962963,295.356481481481,"patient3","Stroma"
1507.47926267281,299.290322580645,"patient3","Stroma"
1812.62419354839,300.809677419355,"patient3","Stroma"
1009.0303030303,302.181818181818,"patient3","Tumor"
1223.13956170704,307.108419838524,"patient3","Treg"
